iter	Logloss
0	0.6398611055
1	0.5994590434
2	0.5628118139
3	0.5367490922
4	0.5137085485
5	0.4954017191
6	0.4795977934
7	0.4672955798
8	0.4563591642
9	0.4477149646
10	0.4392612002
11	0.4336310919
12	0.427626494
13	0.4228655362
14	0.4186814348
15	0.4138765776
16	0.410787057
17	0.4063511326
18	0.4028724334
19	0.4004169623
20	0.397384557
21	0.3949255915
22	0.3926436822
23	0.390271769
24	0.3880777379
25	0.3860350299
26	0.3845640461
27	0.3829603968
28	0.3815050836
29	0.3803224876
30	0.3789330318
31	0.377693287
32	0.3764116087
33	0.3750477077
34	0.3738898173
35	0.3726821148
36	0.3716668343
37	0.3709690079
38	0.370061238
39	0.3685780932
40	0.367845578
41	0.3669342986
42	0.3659348771
43	0.3648802948
44	0.3640713978
45	0.3633693502
46	0.3624056715
47	0.361752322
48	0.3609662145
49	0.3602236457
50	0.3593956066
51	0.3585747227
52	0.3579613998
53	0.3573560633
54	0.3568486506
55	0.3561627658
56	0.3555644361
57	0.3550888897
58	0.3546659236
59	0.3539377248
60	0.3533662173
61	0.3529547546
62	0.3524965986
63	0.3519766318
64	0.3512856046
65	0.3507894169
66	0.3504414871
67	0.3500622818
68	0.3497759124
69	0.3493672474
70	0.3489815059
71	0.3486308012
72	0.3482826592
73	0.3480258867
74	0.3477381549
75	0.3472381136
76	0.3468953171
77	0.3466184789
78	0.3461320935
79	0.3456064082
80	0.3452825211
81	0.3449183321
82	0.3446172696
83	0.344396678
84	0.3440051168
85	0.3436162741
86	0.3433973329
87	0.3431338405
88	0.34282947
89	0.3425534228
90	0.3423197238
91	0.3419381573
92	0.3415798507
93	0.3412877291
94	0.3408161745
95	0.3402926791
96	0.3399951477
97	0.3397471441
98	0.3394921975
99	0.3392439329
100	0.338975033
101	0.3387941891
102	0.3385673758
103	0.338271203
104	0.3380629673
105	0.3376839307
106	0.3374499853
107	0.3371898214
108	0.3369886684
109	0.3366965363
110	0.3365278831
111	0.3362679622
112	0.3361203584
113	0.3358290571
114	0.3355270874
115	0.3353592566
116	0.3351305077
117	0.3348850775
118	0.3347181373
119	0.334500531
120	0.3343094124
121	0.3341797327
122	0.3339537448
123	0.3337105298
124	0.3333574042
125	0.3331927894
126	0.3329537362
127	0.3327634874
128	0.332615024
129	0.3323669183
130	0.3320520737
131	0.3318697503
132	0.331706321
133	0.3315071568
134	0.3312754119
135	0.3310941424
136	0.3309072373
137	0.3306685908
138	0.3304838102
139	0.330248714
140	0.3300448278
141	0.329842717
142	0.3296051954
143	0.3294446286
144	0.3291689455
145	0.3289544715
146	0.3287739573
147	0.3285848322
148	0.3284409872
149	0.3282523679
150	0.3280242169
151	0.3278547639
152	0.3276457996
153	0.3274978781
154	0.3273175259
155	0.3270887331
156	0.3269404717
157	0.3267868762
158	0.326570417
159	0.326453394
160	0.326275067
161	0.3261479044
162	0.3260022436
163	0.3258172066
164	0.3256215502
165	0.3253952149
166	0.3252377371
167	0.3250628808
168	0.3249341937
169	0.3246679761
170	0.3245118211
171	0.3243437835
172	0.3241915469
173	0.3240348076
174	0.323887001
175	0.3237266975
176	0.3235254098
177	0.3233503818
178	0.3232017944
179	0.3231062197
180	0.3228680177
181	0.3227586233
182	0.3226375996
183	0.322520157
184	0.3223934289
185	0.3222630247
186	0.3221287779
187	0.3220052906
188	0.321826162
189	0.3217034477
190	0.3215373135
191	0.3213837801
192	0.3212355813
193	0.3210757953
194	0.3209539808
195	0.3208042994
196	0.3206961329
197	0.320578129
198	0.3204229358
199	0.3203386252
200	0.3202099846
201	0.3200586895
202	0.3199346648
203	0.3198282055
204	0.3196868841
205	0.3195316544
206	0.3194243989
207	0.3192597101
208	0.3191279905
209	0.3190508839
210	0.3188787183
211	0.3187870219
212	0.3186939619
213	0.3185760446
214	0.3184496309
215	0.3182996751
216	0.3181845905
217	0.3180594523
218	0.3179389492
219	0.3178505324
220	0.3177427972
221	0.3176287044
222	0.3175330753
223	0.3174320881
224	0.3173352059
225	0.3171850698
226	0.3170691261
227	0.316953542
228	0.3168569908
229	0.3167491223
230	0.3166496899
231	0.3165014687
232	0.3164202148
233	0.3162920474
234	0.3161891939
235	0.3161098177
236	0.3159907021
237	0.3158755072
238	0.3157595719
239	0.3156692468
240	0.3155902173
241	0.3154751659
242	0.3153599546
243	0.3152443944
244	0.3151259299
245	0.3149782897
246	0.3149116907
247	0.3147994748
248	0.3147107696
249	0.3146083876
250	0.314542443
251	0.314406452
252	0.3143069697
253	0.3141909216
254	0.3141079839
255	0.3140232763
256	0.3139260774
257	0.3138299382
258	0.3137471884
259	0.3136417996
260	0.3135641454
261	0.3134623974
262	0.3133712166
263	0.3132699878
264	0.3131792799
265	0.3130417465
266	0.3129595863
267	0.3128454233
268	0.312765304
269	0.3127050122
270	0.3125718977
271	0.3124619193
272	0.3123526583
273	0.3122645702
274	0.3121954201
275	0.3121084553
276	0.3120187022
277	0.3119306698
278	0.3118499041
279	0.3117613733
280	0.3117002419
281	0.3115901137
282	0.3114895885
283	0.3114252623
284	0.3112995345
285	0.3112175723
286	0.3111534075
287	0.3110961226
288	0.310980685
289	0.3108938705
290	0.3107988464
291	0.3107493074
292	0.310652056
293	0.3105689385
294	0.3104815183
295	0.3104030832
296	0.3103349045
297	0.3102254279
298	0.3101296153
299	0.3100558091
300	0.3099866724
301	0.309866014
302	0.3097816796
303	0.3097095622
304	0.3096198978
305	0.3095182281
306	0.3094339303
307	0.3093569949
308	0.3092647102
309	0.3091845843
310	0.3091199994
311	0.3090576505
312	0.3089477733
313	0.3088648113
314	0.3087721156
315	0.3086965184
316	0.3086055921
317	0.3085382583
318	0.3084545748
319	0.3083525653
320	0.3082784595
321	0.3082080358
322	0.3081437846
323	0.3080687066
324	0.3080012824
325	0.3079296136
326	0.3078119972
327	0.3077271394
328	0.3076618821
329	0.3075781168
330	0.3075190562
331	0.3074247973
332	0.3073156323
333	0.3072391155
334	0.3071285486
335	0.3070622147
336	0.3069856909
337	0.3069302965
338	0.3068383485
339	0.3067565667
340	0.3066741067
341	0.3066049989
342	0.306516536
343	0.3064474299
344	0.3063596456
345	0.3062912708
346	0.3062341522
347	0.3061579359
348	0.3060895548
349	0.3060207783
350	0.3059669108
351	0.3058693404
352	0.3057698053
353	0.3056739887
354	0.305611219
355	0.3055486745
356	0.3054674865
357	0.3053721839
358	0.3052946987
359	0.3052509419
360	0.3051856236
361	0.3051052269
362	0.3050397027
363	0.30495795
364	0.3049118446
365	0.3048355191
366	0.30477739
367	0.3046977183
368	0.304625667
369	0.3045577437
370	0.3044966005
371	0.304370025
372	0.3042858182
373	0.3042173551
374	0.3041585798
375	0.3040907308
376	0.3040345351
377	0.3039826846
378	0.3039229914
379	0.3038455863
380	0.303793959
381	0.3037352699
382	0.3036595814
383	0.3036072441
384	0.3035165013
385	0.3034660194
386	0.3034055556
387	0.3033322297
388	0.3032757164
389	0.3031853503
390	0.3031219703
391	0.303047565
392	0.3029796313
393	0.3029041115
394	0.3028256488
395	0.3027418656
396	0.3026887605
397	0.302607183
398	0.3025626431
399	0.3024948835
400	0.3024305765
401	0.3023583346
402	0.3023183418
403	0.3022627251
404	0.3022319393
405	0.3021666748
406	0.3020946886
407	0.3020287226
408	0.3019818005
409	0.3018878143
410	0.3018149952
411	0.3017202754
412	0.3016345238
413	0.3015499113
414	0.3014728322
415	0.3014027349
416	0.3013177885
417	0.3012489304
418	0.3011717895
419	0.3010870062
420	0.3010351775
421	0.3009318248
422	0.3008874131
423	0.3008126001
424	0.3007811106
425	0.3007233654
426	0.3006640353
427	0.3006033024
428	0.3005407999
429	0.3004599763
430	0.3003850619
431	0.3003379424
432	0.3002672238
433	0.3002053841
434	0.3001491554
435	0.3000852357
436	0.3000298164
437	0.2999586424
438	0.2998929336
439	0.299839395
440	0.2997789462
441	0.2997249409
442	0.2996564657
443	0.2995869184
444	0.2995198029
445	0.2994786516
446	0.2993831565
447	0.2993277885
448	0.2992568063
449	0.2992113725
450	0.2991505751
451	0.2991207017
452	0.2990706888
453	0.2990171193
454	0.298974351
455	0.2989032696
456	0.2988461549
457	0.2987764982
458	0.2987203583
459	0.2986737799
460	0.2986053887
461	0.2985273647
462	0.2984649769
463	0.2984062486
464	0.2983592033
465	0.2983154925
466	0.2982536618
467	0.2981823851
468	0.2981256688
469	0.2980524726
470	0.2979975829
471	0.2979285461
472	0.2978695548
473	0.2978234409
474	0.2977609267
475	0.2976884744
476	0.2976380553
477	0.297576003
478	0.2975227114
479	0.2974446466
480	0.2973993455
481	0.2973407921
482	0.2973018239
483	0.2972539245
484	0.2971825077
485	0.2971326925
486	0.2970809881
487	0.2970361436
488	0.2969881119
489	0.2969131741
490	0.2968478101
491	0.2967842685
492	0.2967357671
493	0.2966350097
494	0.296579713
495	0.2965231778
496	0.2964859749
497	0.2964087616
498	0.2963606349
499	0.2963167389
500	0.2962584522
501	0.2962138174
502	0.2961755608
503	0.2961195872
504	0.2960510156
505	0.2959910441
506	0.2959476557
507	0.2958992292
508	0.2958409678
509	0.2957677857
510	0.2957058253
511	0.2956545852
512	0.2955964605
513	0.2955450633
514	0.2954770271
515	0.2954195783
516	0.2953522982
517	0.2952703958
518	0.2951940162
519	0.2951282669
520	0.2950657483
521	0.295009662
522	0.2949672347
523	0.2949190714
524	0.2948686177
525	0.2948103609
526	0.2947478607
527	0.2946744447
528	0.2946300934
529	0.2945812427
530	0.2945473908
531	0.2944952762
532	0.2944506306
533	0.2943541309
534	0.2942901814
535	0.2942529005
536	0.2942065108
537	0.2941476663
538	0.2941031985
539	0.2940546884
540	0.2939858051
541	0.2939266834
542	0.2938616677
543	0.2938336655
544	0.2937935778
545	0.2937291698
546	0.2936808018
547	0.2936057935
548	0.2935386207
549	0.2934919111
550	0.2934486115
551	0.2933690649
552	0.2933052092
553	0.2932655875
554	0.2932017945
555	0.2931408816
556	0.2930762919
557	0.2930160526
558	0.2929608312
559	0.2929046199
560	0.2928700828
561	0.2928243156
562	0.292771324
563	0.2927194233
564	0.2926430557
565	0.2925918427
566	0.2925375057
567	0.2924681001
568	0.2923825039
569	0.2923060469
570	0.2922319906
571	0.2921670547
572	0.2921208438
573	0.2920677432
574	0.2920289204
575	0.2919724898
576	0.2919073952
577	0.2918393358
578	0.2917845423
579	0.2917273883
580	0.2916637301
581	0.2916258278
582	0.2915802837
583	0.2915307381
584	0.2914698901
585	0.2914228029
586	0.2913813261
587	0.2913211785
588	0.2912677583
589	0.2912146563
590	0.2911671211
591	0.2911082966
592	0.291062451
593	0.2910223297
594	0.2909687866
595	0.2909320412
596	0.2908552325
597	0.29079441
598	0.2907399884
599	0.2906879909
600	0.2906465879
601	0.2905923474
602	0.2905436281
603	0.2904936106
604	0.2904461347
605	0.2903975258
606	0.2903331871
607	0.2902767499
608	0.2902402414
609	0.2901638849
610	0.2901108442
611	0.2900608319
612	0.2900043876
613	0.2899572881
614	0.2899049538
615	0.2898549641
616	0.2898094315
617	0.2897714754
618	0.289730042
619	0.2896910828
620	0.2896420641
621	0.2895956748
622	0.289537855
623	0.2894984698
624	0.2894368843
625	0.2893901075
626	0.2893393475
627	0.289297838
628	0.2892501206
629	0.2892175792
630	0.2891701099
631	0.289138374
632	0.289098324
633	0.289053957
634	0.2890122566
635	0.2889466578
636	0.2888994555
637	0.288835933
638	0.2887611765
639	0.2887178703
640	0.2886642801
641	0.2886037913
642	0.288578458
643	0.2885357362
644	0.2884955539
645	0.2884365159
646	0.2883938089
647	0.2883483208
648	0.2883146378
649	0.2882704006
650	0.2882262244
651	0.2881868923
652	0.2881274688
653	0.2880788445
654	0.2880211544
655	0.2879786993
656	0.2879385949
657	0.2878884612
658	0.2878455121
659	0.2877954282
660	0.2877558175
661	0.2877119547
662	0.2876508305
663	0.2875908057
664	0.2875330006
665	0.2875036193
666	0.2874490458
667	0.2873881868
668	0.2873438555
669	0.2872814196
670	0.2872353246
671	0.2871967572
672	0.2871548058
673	0.2870974227
674	0.2870459981
675	0.2870034529
676	0.2869450699
677	0.2868858065
678	0.2868251601
679	0.2867781294
680	0.2867524072
681	0.2866941098
682	0.286653298
683	0.2865867825
684	0.286526572
685	0.2864836834
686	0.2864509288
687	0.2864099721
688	0.2863572534
689	0.2863149673
690	0.2862515145
691	0.2862155008
692	0.2861661939
693	0.2861134947
694	0.2860576847
695	0.2860143182
696	0.2859727524
697	0.2859326382
698	0.285892297
699	0.2858290912
700	0.2857685197
701	0.2857177712
702	0.2856601179
703	0.2856179337
704	0.2855881181
705	0.2855484568
706	0.2855014576
707	0.2854500007
708	0.2854082081
709	0.2853586453
710	0.2853239693
711	0.2852700215
712	0.2852158454
713	0.285167913
714	0.2851058032
715	0.2850701841
716	0.2850269724
717	0.2849715167
718	0.2849223921
719	0.2848696283
720	0.2848385514
721	0.2847962822
722	0.2847572894
723	0.2847117817
724	0.2846642817
725	0.2846074445
726	0.2845637653
727	0.2845197171
728	0.2844852283
729	0.2844444851
730	0.2844125821
731	0.2843701901
732	0.2843133431
733	0.2842828687
734	0.2842528587
735	0.2842145467
736	0.2841699692
737	0.2841180986
738	0.2840877205
739	0.2840377375
740	0.2840039163
741	0.2839658354
742	0.2839248198
743	0.2838738298
744	0.2838297815
745	0.2837876101
746	0.2837549782
747	0.2836959311
748	0.2836530894
749	0.2835922822
750	0.2835453951
751	0.2834816287
752	0.2834212191
753	0.2833603358
754	0.2833310379
755	0.2832728999
756	0.2832366685
757	0.2831910565
758	0.2831412297
759	0.2831001703
760	0.2830582008
761	0.2830245393
762	0.2829978193
763	0.282945275
764	0.2828959648
765	0.2828614527
766	0.2828199852
767	0.282771151
768	0.2827245181
769	0.2826878788
770	0.2826508864
771	0.282630448
772	0.2825921191
773	0.2825262958
774	0.2824812312
775	0.2824260495
776	0.2823984288
777	0.2823516241
778	0.2823108156
779	0.2822531593
780	0.282208067
781	0.2821616096
