iter	Passed	Remaining
0	57	57522
1	65	32740
2	73	24359
3	80	20157
4	89	17732
5	97	16090
6	105	14971
7	114	14199
8	123	13594
9	132	13094
10	140	12634
11	148	12198
12	155	11834
13	163	11504
14	171	11270
15	180	11075
16	188	10915
17	197	10795
18	206	10676
19	214	10528
20	222	10374
21	230	10229
22	237	10089
23	245	9976
24	252	9859
25	260	9754
26	268	9670
27	277	9618
28	285	9563
29	293	9479
30	300	9382
31	308	9320
32	315	9250
33	323	9191
34	330	9124
35	338	9072
36	347	9033
37	354	8984
38	363	8945
39	371	8912
40	378	8847
41	386	8820
42	394	8783
43	402	8739
44	409	8694
45	417	8665
46	426	8641
47	434	8625
48	443	8609
49	452	8590
50	459	8546
51	466	8506
52	474	8471
53	481	8441
54	488	8397
55	496	8377
56	505	8357
57	513	8336
58	521	8316
59	529	8294
60	536	8264
61	544	8235
62	551	8203
63	559	8176
64	566	8155
65	575	8143
66	582	8117
67	591	8105
68	599	8085
69	607	8072
70	615	8052
71	623	8035
72	631	8015
73	638	7995
74	646	7970
75	654	7955
76	663	7949
77	671	7933
78	679	7918
79	687	7902
80	695	7889
81	702	7867
82	709	7843
83	717	7819
84	724	7803
85	733	7790
86	741	7781
87	749	7765
88	757	7751
89	764	7734
90	771	7710
91	779	7695
92	787	7680
93	794	7653
94	801	7639
95	810	7631
96	819	7624
97	827	7616
98	835	7607
99	843	7593
100	851	7579
101	859	7564
102	867	7550
103	875	7543
104	883	7528
105	892	7525
106	901	7520
107	909	7514
108	917	7502
109	924	7482
110	931	7463
111	938	7443
112	945	7423
113	953	7410
114	961	7398
115	969	7387
116	977	7377
117	985	7369
118	993	7352
119	1000	7340
120	1008	7323
121	1015	7304
122	1023	7294
123	1030	7283
124	1038	7271
125	1047	7262
126	1056	7260
127	1065	7255
128	1073	7246
129	1081	7236
130	1089	7225
131	1096	7212
132	1104	7200
133	1112	7187
134	1120	7179
135	1128	7170
136	1137	7164
137	1145	7157
138	1154	7148
139	1161	7134
140	1169	7123
141	1176	7107
142	1183	7092
143	1190	7077
144	1199	7075
145	1208	7068
146	1216	7061
147	1224	7051
148	1232	7037
149	1239	7025
150	1247	7015
151	1254	7001
152	1262	6991
153	1269	6974
154	1277	6963
155	1285	6957
156	1294	6950
157	1302	6943
158	1311	6937
159	1318	6921
160	1325	6907
161	1332	6895
162	1340	6881
163	1347	6870
164	1355	6857
165	1362	6846
166	1371	6838
167	1379	6829
168	1387	6820
169	1395	6814
170	1403	6804
171	1411	6792
172	1418	6781
173	1426	6769
174	1433	6760
175	1441	6749
